jenis_kelamin,usia,pendidikan,pekerjaan,penghasilan,domisili,durasi_internet,aktivitas_online_meningkat,aktivitas_online_meningkat_3bln,layanan_aktif_1,layanan_aktif_2,layanan_aktif_3,layanan_aktif_4,layanan_aktif_5,layanan_aktif_6,bank_1,bank_2,bank_3,bank_4,bank_5,bank_6,bank_7,freq_atm,freq_internet_bank,freq_mobile_bank,freq_sms_bank,freq_cabang,fitur_cekSaldo,fitur_mutasi,fitur_transfer_sesamabank,fitur_transfer_antarbank,fitur_pulsa,fitur_tagihan,keluhan_1,keluhan_2,keluhan3,keluhan 4,emoney_pilihan1,emoney_pilihan2,emoney_pilihan3,emoney_pilihan4,emoney_pilihan5,emoney_pilihan6,emoney_pilihan7,emoney_pilihan8,emoney_pilihan9,emoney_pilihan10,emoney_pilihan11,alasan_emoney_1,alasan_emoney_2,alasan_emoney_3,alasan_emoney_4,alasan_money_5,penggunaan_emoney_1,penggunaan_emoney_2,penggunaan_emoney_3,penggunaan_emoney_4,penggunaan_emoney_5,penggunaan_emoney_6,penggunaan_emoney_7,penggunaan_emoney_8,penggunaan_emoney_9,penggunaan_emoney_10,cara_topup_emoney_1,cara_topup_emoney_2,cara_topup_emoney_3,cara_topup_emoney_4,cara_topup_emoney_5,cara_topup_emoney_6,cara_topup_emoney_7,nominal_topup,freq_topup,keluhan_emoney_1,keluhan_emoney_2,keluhan_emoney_3,keluhan_emoney_4,penggunaan_qr_1,penggunaan_qr_2,penggunaan_qr_3,penggunaan_qr_4,lokasi_qr_1,lokasi_qr_2,lokasi_qr_3,lokasi_qr_4,lokasi_qr_5,lokasi_qr_6,freq_belanja_6bln,belanja_online_1,belanja_online_2,belanja_online_3,belanja_online_4,belanja_online_5,belanja_online_6,belanja_online_7,belanja_online_8,belanja_online_9,belanja_online_10,belanja_fashion,belanja_groceries,belanja_hp,belanja_laptop,belanja_elektronik,belanja_kosmetik,belanja_hobi,belanja_pulsa,belanja_makanan,belanja_pesawat,belanja_bioskop,tempat_belanja_online_1,tempat_belanja_online_2,tempat_belanja_online_3,tempat_belanja_online_4,tempat_belanja_online_5,tempat_belanja_online_6,tempat_belanja_online_7,tempat_belanja_online_8,ecommerce_1,ecommerce_2,ecommerce_3,ecommerce_4,ecommerce_5,ecommerce_6,ecommerce_7,ecommerce_8,ecommerce_9,ecommerce_10,ecommerce_11,ecommerce_12,food_delivery,alasan_offline_1,alasan_offline_2,alasan_offline_3,alasan_offline_4,alasan_offline_5,alasan_offline_6,alasan_offline_7,bayar_online_1,bayar_online_2,bayar_online_3,bayar_online_4,bayar_online_5,bayar_online_6,bayar_online_7,bayar_online_8,keluhan_online_1,keluhan_online_2,keluhan_online_3,keluhan_online_4,keluhan_online_5,keluhan_online_6
Pria,37,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,17.0,Ya,Pekerjaan,,ATM,,Internet Banking,,,Bank BNI,,,,,,,2-5 kali per bulan,2-5 kali per bulan,,,,Internet Banking,Internet Banking,ATM,ATM,ATM,ATM,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,,,GoPay,,OVO,,,,,,,,,Simple,,Promo,,,,,Pembayaran e-commerce,,Pembelian pulsa,,Pembayaran di minimarket,Pembayaran tiket parkir,,,,Top up di minimarket,ATM,Internet Banking,,,,Rp 100.001 – Rp 150.000,Sering (kurang lebih 1 kali seminggu),,,,,,,OVO,,,Mini market,,,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,,,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,COD (Cash on Delivery),,,,,,Barang rusak/ salah tetapi tidak dapat dikembalikan,,,,
Wanita,47,S1,Dosen tdk tetap,Rp 2 juta – Rp 5 juta,bandung,,Sama saja,,,ATM,,Internet Banking,Datang ke Kantor Cabang,,Bank BNI,Bank Mandiri,,,,,,> 10 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,,ATM,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,,OVO,,,,,,,,,Simple,Efisien secara waktu,,Tidak perlu datang ke bank,,Pembelian delivery makanan,Pembayaran transportasi online,,Pembayaran di restauran/ cafe,Pembelian pulsa,Pembayaran tol,,,,,Mobile Banking,,ATM,,,,,Rp 100.001 – Rp 150.000,Sering (kurang lebih 1 kali seminggu),,Kartu eMoney tidak terdeteksi,,,,GoPay,,,Cafe/ restaurant,,,,,,Tetap,,,,,,,,,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,Website toko online Instagram,,,,,,,Gojek (GoFood,Tokopedia,,,,,Bukalapak,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,Lebih murah,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,,,,
Pria,48,S1,Karyawan bumn,> Rp 10 juta,karawang,12.0,Ya,Info pertanian,,,,Internet Banking,,,,Bank Mandiri,,,,,,6-9 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,,,Mobile Banking,Internet Banking,Mobile Banking,Internet Banking,Mobile Banking,Internet Banking,Layanan/ Sistem down,,,,,,,,eMoney Mandiri,,,,,,,,,,Tidak perlu datang ke bank,,Pembelian delivery makanan,Pembayaran transportasi online,,Pembayaran di restauran/ cafe,,Pembayaran tol,,Pembayaran tiket parkir,,,Mobile Banking,,,,,,,Rp 100.001 – Rp 150.000,Sering (kurang lebih 1 kali seminggu),,Kartu eMoney tidak terdeteksi,Telah Top Up tapi saldo tidak bertambah,,QRIS,,,,,,,Tempat hiburan/ rekreasi (seperti bioskop,,,Tetap,,,,,,,,,,,online,online,,,,,online,online,,online,online,Marketplace (seperti Lazada,,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,GoFood,Dapat memilih barang langsung,,,,,,,,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
Wanita,22,S1,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,10.0,Sama saja,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,,ShopeePay,OVO,,,,,,,,,Simple,Efisien secara waktu,Promo,,Aman,,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,Pembelian pulsa,,,,,Pembayaran utilitas (PLN,Mobile Banking,,,,,,,Rp 150.001 – Rp 300.000,Hanya mengisi jika akan menggunakan,Aplikasi tidak bisa digunakan/ diakses,,,,QRIS,,,,Cafe/ restaurant,,,Tempat hiburan/ rekreasi (seperti bioskop,Pedagang kaki lima / warung-warung pinggir jalan,,Tetap,,Belanja fashion & mode secara online,,,Belanja kosmetik & alat kecantikan/ perawatan badan secara online,Belanja buku,,Booking Hotel secara online,Belanja handphone,laptop/ komputer secara online,online,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,Marketplace (seperti Lazada,,,,Whatsapp,Facebook,,,Shopee,,,Grab (GrabFood,,,,,,,,,ShopeeFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,COD (Cash on Delivery),,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
Pria,19,SMA,Pelajar / Mahasiswa,< Rp 2 juta,tangerang selatan,7.0,Ya,Streaming video/ film,,ATM,,,,,,,,,Bank BRI,,,2-5 kali per bulan,,2-5 kali per bulan,,,,,Mobile Banking,,ATM,,Layanan/ Sistem down,,,,GoPay,,,,,,,,,,,Simple,Efisien secara waktu,Promo,,Aman,Pembelian delivery makanan,Pembayaran transportasi online,,,,,,,Pembayaran transportasi umum,,Mobile Banking,,ATM,,,,,"Rp 25.000 – Rp 50.000,-",Jarang (kurang lebih 1 kali sebulan) Sangat jarang,Aplikasi tidak bisa digunakan/ diakses,Kartu eMoney tidak terdeteksi,,,,GoPay,,,Cafe/ restaurant,,,,,,Meningkat,,Belanja fashion & mode secara online,Pembelian pulsa secara online,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,Whatsapp,,,,Shopee,Gojek (GoFood,,,Traveloka,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,Lebih murah,,,Transfer via Virtual Account,,,Transfer via ATM,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
Wanita,19,SMA,Pelajar / Mahasiswa,< Rp 2 juta,medan,9.0,Ya,Akses media sosial,Mobile Banking,,,,,,,,,,,,,2-5 kali per bulan,,2-5 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,,OVO,Dana,,,,,,,,Simple,Efisien secara waktu,Promo,Tidak perlu datang ke bank,Aman,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,Pembelian pulsa,,Pembayaran di minimarket,Pembayaran tiket parkir,,Pembayaran utilitas (PLN,Mobile Banking,,,,,,,> Rp 300.000,Jarang (kurang lebih 1 kali sebulan) Sangat jarang,Aplikasi tidak bisa digunakan/ diakses,,,,QRIS,GoPay,OVO,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,Pedagang kaki lima / warung-warung pinggir jalan,Pasar tradisional,Menurun,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,,Gojek (GoFood,Tokopedia,Grab (GrabFood,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,,,,
Pria,55,S1,Pengusaha,> Rp 10 juta,bandung,3.0,Sama saja,,,,Kartu Kredit,,,,,,,,,,,,,2-5 kali per bulan,,,,,Mobile Banking,Mobile Banking,,,,,,,,,,,,,,Tidak Menggunakan eMoney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menurun,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,offline/ langsung datang ke toko fisik,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,,,,,,,,,,Kartu Kredit / Debit Online,,,,,,,,
Wanita,26,S2,Profesional,Rp 5 juta – Rp 10 juta,bandung,,Sama saja,Berbelanja online,Mobile Banking,ATM,,,,,Bank BNI,,Bank BCA,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,ShopeePay,OVO,,,,,,,,,Simple,Efisien secara waktu,Promo,Tidak perlu datang ke bank,Aman,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,,Pembelian pulsa,,,,,,Mobile Banking,,,,,,,Rp 150.001 – Rp 300.000,Hanya mengisi jika akan menggunakan,,,,,QRIS,GoPay,OVO,,Cafe/ restaurant,Mini market,,Tempat hiburan/ rekreasi (seperti bioskop,Pedagang kaki lima / warung-warung pinggir jalan,,Meningkat,Membeli makanan dan minuman secara online,Belanja fashion & mode secara online,Pembelian pulsa secara online,Belanja groceries / keperluan sehari-hari secara online,Belanja kosmetik & alat kecantikan/ perawatan badan secara online,Belanja buku,,,Belanja handphone,laptop/ komputer secara online,online,offline/ langsung datang ke toko fisik,online,online,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,ShopeeFood,Dapat memilih barang langsung,,Langsung dapat membawa pulang barang dan menggunakannya,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,,,,,,menggunakan fitur Paylater,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,Pembayaran sudah dilakukan; barang tidak tersedia,Jumlah barang yang diterima kurang,,
Pria,20,S1,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,6.0,Sama saja,,Mobile Banking,,,,,,,,,,Bank BRI,,,,,6-9 kali per bulan,,,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Layanan/ Sistem down,,,,,,,,,,,Tidak Menggunakan eMoney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetap,,,,,,,,,,,online,online,online,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,online,Marketplace (seperti Lazada,,,,,,,,Shopee,,Tokopedia,,,,,,,,,,GoFood,,,Langsung dapat membawa pulang barang dan menggunakannya,,,,,,,,COD (Cash on Delivery),,,,,,,,,,
Wanita,49,S1,Ibu Rumah Tangga,Rp 5 juta – Rp 10 juta,ambon,5.0,Ya,Akses media sosial,Mobile Banking,ATM,,Internet Banking,,,Bank BNI,Bank Mandiri,,Bank CIMB Niaga,Bank BRI,,,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,> 10 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,,,GoPay,ShopeePay,OVO,Dana,eMoney Mandiri,,LinkAja,,Brizzi,,,Simple,,,,,Pembelian delivery makanan,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,Pembayaran tol,,,,,Mobile Banking,,,,,,,Rp 150.001 – Rp 300.000,Sering (kurang lebih 1 kali seminggu),,Kartu eMoney tidak terdeteksi,,,QRIS,GoPay,OVO,LinkAja,Cafe/ restaurant,,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,,,Meningkat,Membeli makanan dan minuman secara online,Belanja fashion & mode secara online,,Belanja groceries / keperluan sehari-hari secara online,Belanja kosmetik & alat kecantikan/ perawatan badan secara online,,,,,,online,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,,,Grab (GrabFood,Traveloka,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,,Barang rusak/ salah tetapi tidak dapat dikembalikan,,,,
Pria,26,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,bekasi,18.0,Sama saja,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,> 10 kali per bulan,,> 10 kali per bulan,,,ATM,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,,,GoPay,ShopeePay,OVO,,,,,,,,,Simple,Efisien secara waktu,Promo,Tidak perlu datang ke bank,,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,Pembelian pulsa,,,Pembayaran tiket parkir,Pembayaran transportasi umum,Pembayaran utilitas (PLN,Mobile Banking,,,,,,,Rp 50.001 – Rp 100.000,Hanya mengisi jika akan menggunakan,,,,,QRIS,GoPay,,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,Pedagang kaki lima / warung-warung pinggir jalan,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,offline/ langsung datang ke toko fisik,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,ShopeeFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,Lebih murah,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,,COD (Cash on Delivery),,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
Wanita,20,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,15.0,Ya,"Tugas Akademik, online meet",Mobile Banking,,,,,,Bank BNI,Bank Mandiri,,,,,,,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,Layanan/ Sistem down,,,,GoPay,ShopeePay,OVO,Dana,eMoney Mandiri,,LinkAja,,,,,Simple,Efisien secara waktu,Promo,Tidak perlu datang ke bank,,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,Pembelian pulsa,Pembayaran tol,Pembayaran di minimarket,,,,Mobile Banking,,,,,,,> Rp 300.000,Sering (kurang lebih 1 kali seminggu),,,,,QRIS,GoPay,OVO,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,Pedagang kaki lima / warung-warung pinggir jalan,,Tetap,,,,,,,,,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,Tokopedia,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,,,,,,,,,,
Wanita,18,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,medan,,Ya,Akses media sosial,Mobile Banking,ATM,,,,,Bank BNI,,,,,,,Kurang dari/ setidaknya 1 kali per bulan,,2-5 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,,Mobile Banking,ATM,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,Tidak melakukan transaksi tapi saldo terpotong,GoPay,ShopeePay,OVO,Dana,,,,,,,,Simple,Efisien secara waktu,Promo,Tidak perlu datang ke bank,Aman,,,Pembayaran e-commerce,,Pembelian pulsa,,,,,Pembayaran utilitas (PLN,Mobile Banking,Top up di minimarket,,,,,,Rp 50.001 – Rp 100.000,Hanya mengisi jika akan menggunakan,Aplikasi tidak bisa digunakan/ diakses,,,,QRIS,,,,Cafe/ restaurant,,Supermarket/ Mall,,,,Meningkat,,,,,,Belanja buku,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,Marketplace (seperti Lazada,,,,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,,COD (Cash on Delivery),,,,,,,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
Wanita,20,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,10.0,Tidak,belajar ,Mobile Banking,ATM,,,,,,Bank Mandiri,,,,,,2-5 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,,,GoPay,ShopeePay,OVO,Dana,,,,,Brizzi,,,Simple,Efisien secara waktu,Promo,Tidak perlu datang ke bank,,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,Pembelian pulsa,Pembayaran tol,Pembayaran di minimarket,Pembayaran tiket parkir,Pembayaran transportasi umum,,Mobile Banking,,,,,,,Rp 100.001 – Rp 150.000,Sering (kurang lebih 1 kali seminggu),,,,,QRIS,GoPay,OVO,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,Pedagang kaki lima / warung-warung pinggir jalan,,Tetap,Membeli makanan dan minuman secara online,,Pembelian pulsa secara online,,,Belanja buku,Booking transportasi jarak jauh kereta api/ pesawat secara online,Booking Hotel secara online,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,online,Marketplace (seperti Lazada,,,,,,,,Shopee,Gojek (GoFood,Tokopedia,Grab (GrabFood,Traveloka,,Tiket.com,,Blibli,,,,ShopeeFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,Pembayaran sudah dilakukan; barang tidak tersedia,Jumlah barang yang diterima kurang,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
Wanita,45,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,semarang,,Ya,bekerja,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,,Mobile Banking,,,Mobile Banking,,,,,GoPay,ShopeePay,OVO,,,Flazz BCA,,,,,,,Efisien secara waktu,,,Aman,Pembelian delivery makanan,,,Pembayaran di restauran/ cafe,Pembelian pulsa,Pembayaran tol,,,,,Mobile Banking,,,,,,,Rp 150.001 – Rp 300.000,Hanya mengisi jika akan menggunakan,,,,,QRIS,,,,Cafe/ restaurant,,,,,,Tetap,,,,,,,,,,,,online,,,,,,online,online,,,Marketplace (seperti Lazada,,,,,,,,,Gojek (GoFood,Tokopedia,Grab (GrabFood,,,,,,,,,ShopeeFood,Dapat memilih barang langsung,,,Sambil jalan-jalan,,,,,,,,,Kartu Kredit / Debit Online,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
Pria,51,S2,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,,Ya,Berbelanja online,,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,,,,,,ATM,,,,,Layanan/ Sistem down,,,,,,,,eMoney Mandiri,Flazz BCA,,,,,,Simple,,,,,,,,,,Pembayaran tol,,,,,,Top up di minimarket,,,,,,Rp 50.001 – Rp 100.000,Sangat Sering (beberapa kali dalam seminggu),,Kartu eMoney tidak terdeteksi,,,,,,,,,,,,,Menurun,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,Marketplace (seperti Lazada,,,,,,,,Shopee,,Tokopedia,,,Lazada,,,,,,,GoFood,,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
